obsid, lonstart, lonend, freq, power, fap
/home/jchakrab/fits/pipeline_nostitch/jcf01090114_corrected_cmap.fits, 258, 505, [0.29149797570850206 0.8744939271255061 1.45748987854251 2.0404858299595143 2.623481781376518 3.206477732793522 6.1214574898785425 9.036437246963564 5.538461538461538 12.534412955465585 3.7894736842105265 9.619433198380566 6.704453441295546 11.951417004048583 15.449392712550608 ], [0.6356817381060075 0.6256068340886326 0.6032461752382006 0.5626489620621289 0.48933019223087043 0.3563010095413329 0.23030294515361108 0.1867019450499468 0.17724179943172202 0.1771187237687802 0.1647639275972744 0.16465219802291017 0.15985247226600516 0.15718066620015295 0.13433340641684896 ], [1.7827059792445573e-50 4.931080727586361e-49 5.7360445517769626e-46 8.038798580217877e-41 1.2209685686173889e-32 1.9232452489773797e-20 4.581622135576334e-11 3.426957738069505e-08 1.368878238231465e-07 1.3936036080422605e-07 8.280096729057688e-07 8.413473878608668e-07 1.6676938830507676e-06 2.4360580692386893e-06 5.885103855413098e-05 ]
/home/jchakrab/fits/pipeline_nostitch/jcf01390147_corrected_cmap.fits, 31, 276, [0.2938775510204082 0.8816326530612246 1.469387755102041 2.0571428571428574 9.110204081632652 9.69795918367347 2.6448979591836737 8.522448979591838 5.583673469387755 12.636734693877553 6.171428571428571 12.048979591836735 3.23265306122449 15.575510204081633 13.224489795918368 ], [0.38785583740458884 0.3749029641394765 0.3476203187688609 0.30343533223620034 0.2937001887733166 0.2478139031899701 0.2396608744860445 0.2022423731631197 0.19563017451210196 0.19481548063547133 0.1892710768855952 0.160904310163307 0.1569783837573528 0.15507893994334032 0.14114646220524557 ], [7.031238085532759e-23 8.7096205298663e-22 1.4740379362290956e-19 3.8263181584734e-16 2.01858852207936e-15 3.765754898749842e-12 1.364949903385943e-11 4.1953260210323444e-09 1.120241413386165e-08 1.2635805472296703e-08 2.857234677923522e-08 1.6901887683772645e-06 2.9367488158642314e-06 3.832591301294493e-06 2.645539546337201e-05 ]
/home/jchakrab/fits/pipeline_nostitch/jc157_corrected_cmap.fits, 422, 683, [0.27586206896551724 0.8275862068965518 1.3793103448275863 1.9310344827586208 2.4827586206896552 5.793103448275863 3.03448275862069 5.241379310344828 9.103448275862071 8.551724137931034 6.344827586206897 11.862068965517244 14.620689655172416 15.172413793103448 9.655172413793103 ], [0.5188487233327344 0.507807687865063 0.4843022341697829 0.4449432782833962 0.382007483774446 0.32016033978820513 0.27801115247658653 0.27352940024023503 0.24609931277361424 0.2364037555469534 0.2228443510950229 0.17286674027874863 0.16812810517071514 0.15288259590019784 0.1384599602836174 ], [5.705685561406085e-38 1.0536563165766046e-36 4.226734401957281e-34 5.347328693658801e-30 5.156367594630596e-24 1.0413708623469868e-18 2.2748697400662476e-15 5.013291126878876e-15 5.669951525956817e-13 2.889070515011038e-12 2.7166937947794303e-11 7.42366159920938e-08 1.5297816547403068e-07 1.5185813451797465e-06 1.2756654327293953e-05 ]
/home/jchakrab/fits/pipeline_nostitch/jc167172_corrected_cmap.fits, 253, 493, [0.3 0.9 1.5 2.1 2.7 3.3 9.9 9.3 6.300000000000001 3.9 10.5 6.9 5.7 12.900000000000002 8.700000000000001 ], [0.6430719097099038 0.6299892271758947 0.6014905166788379 0.5522544760196997 0.4733147184916389 0.3538651951490641 0.25089696706536174 0.22795193227813562 0.19892360677016144 0.19172224849416325 0.1680435866689392 0.14650831999809044 0.13846019150044844 0.11381684608146074 0.1113721645826379 ], [5.187964849913685e-50 3.656971458605382e-48 2.353157887554919e-44 2.2301497757387395e-38 4.693111956802177e-30 1.3421478639101698e-19 4.602948313256162e-12 1.5663804932805515e-10 1.1610108918656635e-08 3.291586248050471e-08 9.435714213111935e-07 1.8205448704302026e-05 5.3819910834300135e-05 0.0013788580063982896 0.00189004341692936 ]
/home/jchakrab/fits/pipeline_nostitch/jc367_corrected_cmap.fits, 263, 539, [5.478260869565218 4.956521739130435 0.2608695652173913 0.782608695652174 1.3043478260869565 8.608695652173914 1.826086956521739 6.000000000000001 8.08695652173913 2.3478260869565215 9.130434782608697 4.434782608695652 11.217391304347826 11.73913043478261 2.8695652173913047 ], [0.46191810779898207 0.4336963892466902 0.4296098782875245 0.4150690939848063 0.3835514603555764 0.3484586268959632 0.3298167346784994 0.3086883276372188 0.30664300784636844 0.24660390666404067 0.22644948630433412 0.2228773765599967 0.18207349095561787 0.17812952835114895 0.13505363438714352 ], [1.0325253285988607e-33 1.0731108359377121e-30 2.849922580272804e-30 8.70270358179255e-29 1.080571248787234e-25 1.972369100763208e-22 9.023866760612701e-21 6.04063406530646e-19 9.01094153647527e-19 6.769221430932879e-14 2.382567097716102e-12 4.4331525047283584e-12 4.3300414630867654e-09 8.258465963709676e-09 7.676524818370627e-06 ]
/home/jchakrab/fits/pipeline_nostitch/jcf00370044_corrected_cmap.fits, 285, 524, [0.301255230125523 0.9037656903765691 1.506276150627615 2.1087866108786613 2.711297071129707 3.3138075313807533 3.916317991631799 6.3263598326359824 6.928870292887028 9.941422594142258 9.338912133891213 12.95397489539749 7.531380753138075 5.7238493723849375 10.543933054393305 ], [0.7598906219950982 0.7489147801322558 0.7247366238547637 0.6825008266164027 0.6141126881903258 0.5054230193386974 0.32944559848241983 0.23524427260609246 0.23437696485859758 0.1834361998534342 0.15858415293193923 0.13632019167448314 0.13401027774986454 0.13099422432437902 0.12632672470170245 ], [4.529530076701303e-70 8.780393223036743e-68 4.444365167008634e-63 8.91429782090658e-56 8.392260124557043e-46 3.970601512815851e-33 1.2751548219562722e-17 5.873864735713798e-11 6.7020559264169e-11 1.1859820870475453e-07 3.7923096766019563e-06 7.663326666608128e-05 0.00010413064286748843 0.0001551664500117596 0.0002866870906666559 ]
/home/jchakrab/fits/pipeline_nostitch/jj0115_corrected_cmap.fits, 180, 473, [5.160409556313994 4.6689419795221845 5.651877133105803 8.109215017064846 0.24573378839590446 0.7372013651877133 4.177474402730375 1.2286689419795223 7.617747440273037 8.600682593856655 1.720136518771331 2.21160409556314 6.143344709897611 11.0580204778157 10.56655290102389 ], [0.5614665417734525 0.5262787120273134 0.4105765108277661 0.3322812922992035 0.3308847885209054 0.3179997399134366 0.30292017304916447 0.29068818447202455 0.2553626502179402 0.2511356239061282 0.24628089452042862 0.18373043467074207 0.17227963699183405 0.1706881946577346 0.1355373675131394 ], [8.406685925149546e-49 5.901986126520694e-44 3.007856899005867e-30 1.9337876363539213e-22 2.6125312545567594e-22 4.069732701688996e-21 9.467283818215345e-20 1.1553290011013504e-18 1.245038412328557e-15 2.8055672807841112e-15 7.090944549920862e-15 6.420782678448049e-10 4.686768929972249e-09 6.163381819814545e-09 2.258792832384153e-06 ]
/home/jchakrab/fits/pipeline_nostitch/cal_jcf038043_corrected_cmap.fits, 436, 680, [0.29508196721311475 0.8852459016393444 1.4754098360655739 2.0655737704918034 2.655737704918033 6.196721311475409 5.606557377049181 9.737704918032787 6.786885245901639 3.2459016393442623 9.147540983606557 10.327868852459018 15.639344262295083 16.229508196721312 3.8360655737704925 ], [0.5579300877861971 0.5447135629900018 0.5163378717336196 0.4686035935810244 0.39397157399991795 0.3786434133259631 0.2996051447453721 0.29589279576552646 0.2924946975040103 0.2798881437945371 0.2434466388445352 0.21076856473386604 0.13284647370453678 0.13049784928797079 0.12447350892225995 ], [9.902398670201599e-40 3.405521779131273e-38 4.837076622115069e-35 3.882815912149945e-30 2.6850383020430343e-23 5.339604336363988e-22 8.768594159492916e-16 1.6476773807162158e-15 2.9263048837268804e-15 2.404487279522275e-14 8.594375420410863e-12 1.3058272656037092e-09 8.772386600603597e-05 0.00012044429448988316 0.0002702899564757952 ]
/home/jchakrab/fits/pipeline_nostitch/jcf05560559_corrected_cmap.fits, 259, 554, [0.2440677966101695 0.7322033898305086 1.2203389830508473 5.125423728813559 1.7084745762711866 4.63728813559322 5.613559322033899 8.054237288135594 2.1966101694915254 8.542372881355933 7.566101694915255 2.6847457627118643 10.983050847457626 10.49491525423729 11.471186440677966 ], [0.5205169067082687 0.5069749214897179 0.4774940828006852 0.45258718009730936 0.4268538747932463 0.3587389204300594 0.3578082291138961 0.34788429033271334 0.3465964763538867 0.26379987316008235 0.2623457012788988 0.22829394831831792 0.2220659481108304 0.1836356307766909 0.14430833430550744 ], [1.6414420966107639e-43 9.450975845579207e-42 4.414807265660236e-38 3.8543313177820817e-35 3.0619509910196324e-32 3.703448972576348e-25 4.570893898394608e-25 4.2290618509586044e-24 5.630320023946263e-24 1.803752860949764e-16 2.39937157620111e-16 1.6269473557324472e-13 5.188439246511715e-13 5.385292220053959e-10 4.593543873251912e-07 ]
/home/jchakrab/fits/pipeline_nostitch/jcf0016100173_corrected_cmap.fits, 117, 351, [0.3076923076923077 0.9230769230769232 1.5384615384615383 2.153846153846154 2.769230769230769 3.384615384615385 4.000000000000001 12.615384615384613 13.23076923076923 9.538461538461538 4.615384615384616 16.307692307692307 8.923076923076923 10.153846153846155 15.692307692307692 ], [0.6753859597100478 0.6681769747816548 0.6521498703825935 0.6233318393484384 0.5735956924390557 0.48734504319030303 0.3425121580065546 0.17578089324759666 0.1725011469459346 0.16727862686567438 0.14853861413973807 0.129571702821823 0.1294701294896895 0.11985999764510366 0.09859587804125874 ], [1.9557469499381922e-53 2.459024642782385e-52 5.643977093608027e-50 5.422917600603608e-46 8.656066124086163e-40 1.3879058712535488e-30 3.523952590441877e-18 5.484369318651247e-07 8.594960673427432e-07 1.7504616657957188e-06 2.1562271195811733e-05 0.0002565081325705931 0.0002598862569775429 0.0008884242745341473 0.012622623496540798 ]
/home/jchakrab/fits/pipeline_nostitch/jc153158_corrected_cmap.fits, 184, 430, [0.29268292682926833 0.878048780487805 1.4634146341463417 2.0487804878048785 2.634146341463415 9.073170731707318 6.146341463414635 9.658536585365855 3.2195121951219514 5.560975609756098 6.731707317073171 8.487804878048781 12.585365853658539 12.000000000000002 10.24390243902439 ], [0.4066490284412432 0.39701423053189255 0.37716892440250505 0.34596481798207046 0.3000657768887874 0.2550630076048421 0.25132978060770605 0.24388316327945322 0.22598504306264966 0.21797936192749606 0.1827725784735438 0.16695765779229013 0.16449294649294555 0.15067901700581907 0.14742599048670046 ], [1.2825831075784785e-24 8.970608626323753e-24 4.470644484190743e-22 1.626186933906633e-19 5.743683678230949e-16 1.0279884270626201e-12 1.873122013697792e-12 6.141674032191519e-12 1.0144607337007594e-10 3.478343324229851e-10 6.710994996311566e-08 6.584541346376756e-07 9.358086229754095e-07 6.568052145787386e-06 1.03375331065823e-05 ]
