id, fft, fftpower, ls, lspower

/home/jchakrab/fits/pipeline_nostitch/junk_corrected_cmap.fits [0.0 57.85714285714286 51.42857142857143 45.0 93.21428571428572 54.642857142857146 61.07142857142858 192.85714285714286 48.214285714285715 41.785714285714285 ], [1.5788556 0.22507931 0.06582514 0.039858308 0.030019514 0.027921211 0.023055071 0.019818548 0.019784048 0.012856482 ], [0.32286995515695066 0.9686098654708519 1.6143497757847534 2.2600896860986546 2.905829596412556 3.5515695067264574 4.197309417040358 4.84304932735426 7.4260089686098665 6.780269058295964 ], [4.089070105217075 3.9927176943118754 1.025400055584319 1.0247113446255425 0.9932413618532883 0.9921855609786449 0.9386379767922375 0.9379014428712543 0.9318304667805145 0.9306574323999626 ]
/home/jchakrab/fits/pipeline_nostitch/jcf03350340_corrected_cmap.fits [0.0 21.412639405204462 18.736059479553905 24.08921933085502 66.91449814126395 64.23791821561339 69.5910780669145 26.765799256505577 61.561338289962826 96.35687732342008 ], [1.6834677 0.17080876 0.17038134 0.117367424 0.0764934 0.030791111 0.02956101 0.024907712 0.020606283 0.019457432 ], [0.2686567164179105 0.8059701492537316 1.3432835820895523 1.8805970149253737 2.4179104477611943 5.641791044776119 5.1044776119402995 2.9552238805970155 6.179104477611941 8.865671641791046 ], [2.350764332620041 2.31522379508401 0.6722145263490505 0.6696889291605561 0.6031459987840968 0.5939451238129433 0.5938409107435385 0.5889315098367007 0.5666848706080307 0.5666726500382167 ]
/home/jchakrab/fits/pipeline_nostitch/jcf0004100050_corrected_cmap.fits [0.0 29.268292682926827 32.19512195121951 26.341463414634145 38.048780487804876 35.1219512195122 40.97560975609756 102.4390243902439 99.51219512195122 105.36585365853658 ], [1.6492159 0.16043325 0.14365369 0.1047643 0.051443074 0.04367054 0.03482297 0.02189028 0.017014977 0.015864171 ], [0.2938775510204082 0.8816326530612246 1.469387755102041 2.0571428571428574 2.6448979591836737 6.171428571428571 3.23265306122449 5.583673469387755 9.69795918367347 6.759183673469388 ], [0.6686153890025639 0.6682190453347553 0.6664587256975575 0.6661080168552737 0.622232944481813 0.6085682841458953 0.5858865116126194 0.58581685338299 0.5790362463208675 0.553331218141458 ]
/home/jchakrab/fits/pipeline_nostitch/j0433_corrected_cmap.fits [0.0 35.55555555555556 38.51851851851852 32.59259259259259 41.48148148148148 47.407407407407405 44.44444444444444 50.37037037037037 53.33333333333333 145.1851851851852 ], [1.6419706 0.18141259 0.098746374 0.09224589 0.06574721 0.060215004 0.033131737 0.01880776 0.013818535 0.013718087 ], [0.29752066115702475 0.8925619834710744 1.4876033057851237 2.0826446280991733 2.6776859504132227 3.2727272727272725 3.8677685950413223 9.223140495867767 9.818181818181817 6.247933884297519 ], [143.93398218488596 0.8088318765139845 0.8084380968071566 0.7998601400116166 0.7997454802608484 0.7419363925147363 0.7302577132005355 0.7125750699311388 0.7124636529896606 0.7044315140023436 ]
/home/jchakrab/fits/pipeline_nostitch/jcf05350544_corrected_cmap.fits [0.0 9.320388349514563 11.650485436893202 41.94174757281553 55.922330097087375 44.27184466019417 69.90291262135922 86.2135922330097 53.592233009708735 58.252427184466015 ], [1.2839172 0.14284661 0.1274965 0.04485304 0.04156996 0.039198566 0.023579089 0.019850183 0.018876916 0.014797896 ], [0.23376623376623376 0.7012987012987013 1.1688311688311688 1.6363636363636365 5.376623376623376 2.103896103896104 4.909090909090909 2.5714285714285716 5.8441558441558445 4.441558441558442 ], [0.7532342269949355 0.7487034446383752 0.6024423316537165 0.6022755258769372 0.5996888766614246 0.5945787268028695 0.5945033468430808 0.5934353693893425 0.5794443848253212 0.579430871133838 ]
/home/jchakrab/fits/pipeline_nostitch/starcal_jf245246_corrected_cmap.fits [0.0 14.304635761589406 23.841059602649008 97.74834437086093 50.06622516556292 21.456953642384107 59.60264900662252 83.44370860927152 66.75496688741723 119.20529801324504 ], [1.3720218 0.26443753 0.10986751 0.059861567 0.032676425 0.02697115 0.022445407 0.016532298 0.016058851 0.015536077 ], [1.6744186046511629 1.196013289036545 0.7176079734219271 0.23920265780730898 2.1528239202657806 2.6312292358803986 3.109634551495017 3.588039867109635 5.501661129568107 5.023255813953488 ], [0.9992493218566446 0.9872360634394842 0.8878400687843613 0.8877744853071062 0.8787372156501319 0.8781654169688415 0.8733962221020798 0.873383262050143 0.8728148400505276 0.8728021103087296 ]
/home/jchakrab/fits/pipeline_nostitch/ncal190_corrected_cmap.fits [0.0 59.737991266375545 141.48471615720524 97.46724890829694 150.91703056768557 220.08733624454146 56.59388646288209 154.06113537117903 320.69868995633186 330.1310043668122 ], [1.596788 0.16744234 0.06809995 0.057406448 0.052502237 0.03403181 0.026903594 0.026561556 0.020399926 0.018159604 ], [0.3157894736842105 0.9473684210526315 1.5789473684210524 2.2105263157894735 2.8421052631578947 3.473684210526315 4.105263157894736 4.736842105263157 7.263157894736841 19.894736842105264 ], [4.643781086660756 4.450332719816059 0.8564853792021103 0.8562413416496475 0.8367092241844543 0.8361267894776689 0.7839443719059309 0.7779374752014359 0.7712051565687712 0.771122390025948 ]
/home/jchakrab/fits/pipeline_nostitch/jcflat025030_corrected_cmap.fits [0.0 48.20083682008368 45.18828451882845 39.163179916317986 51.213389121338906 90.3765690376569 87.36401673640167 84.35146443514644 96.40167364016736 60.2510460251046 ], [1.6588535 0.1624865 0.09947055 0.08873636 0.041405614 0.040243626 0.03815123 0.034223154 0.033479102 0.015439379 ], [0.3025210084033613 0.9075630252100841 1.5126050420168067 2.1176470588235294 2.722689075630252 3.327731092436975 3.932773109243698 6.352941176470588 9.983193277310924 9.378151260504202 ], [13.540642268141365 13.019639691738199 0.7733398397862477 0.772737646589426 0.7684178155568956 0.767941765164942 0.7173521921006633 0.7049802729309794 0.6854061950018423 0.6852917494276414 ]
/home/jchakrab/fits/pipeline_nostitch/jcf0085700866_corrected_cmap.fits [0.0 38.06167400881057 41.23348017621145 31.71806167400881 85.63876651982378 225.19823788546253 145.9030837004405 28.546255506607928 193.48017621145374 215.6828193832599 ], [1.4873273 0.19905882 0.050027456 0.04839153 0.040519424 0.03480783 0.023192547 0.018623242 0.018277192 0.013991946 ], [2.230088495575221 1.592920353982301 0.9557522123893805 0.3185840707964602 2.8672566371681416 3.504424778761062 4.1415929203539825 4.778761061946903 5.4159292035398225 20.07079646017699 ], [4.348637747463433 3.2553009421649346 0.9188618897767232 0.9121505202390932 0.8792552832204472 0.8771002395990458 0.8550280562192029 0.8532849961490843 0.8355759467626092 0.8337820873278436 ]
/home/jchakrab/fits/pipeline_nostitch/starcal_jcf085089_corrected_cmap.fits [0.0 22.06896551724138 27.586206896551726 24.827586206896555 19.310344827586206 30.344827586206897 55.17241379310345 52.41379310344828 57.931034482758626 60.689655172413794 ], [1.484251 0.14583264 0.12150238 0.097245425 0.08029049 0.050238438 0.025364147 0.024246497 0.021500202 0.017988857 ], [0.27692307692307694 0.8307692307692307 1.3846153846153846 1.9384615384615385 5.815384615384615 5.2615384615384615 2.4923076923076923 6.369230769230769 11.907692307692308 8.584615384615384 ], [0.49093219333786725 0.4890580622584103 0.4840440816740918 0.48378096780608465 0.44948118582421537 0.437281699355812 0.417188741737441 0.4171327901235358 0.41135380676856137 0.38863388653970277 ]
