,date,fft_power
0,2015-12-12,0.00997209
1,2015-12-12,0.00809972
2,2015-12-12,0.00622052
3,2015-12-12,0.0049559
4,2015-12-12,0.00141757
5,2015-12-12,0.00111539
6,2015-12-12,0.0010616
7,2015-12-12,0.00088802
8,2015-12-12,0.00071551
9,2015-12-12,0.00060814
10,2009-08-26,0.15899629
11,2009-08-26,0.07522371
12,2009-08-26,0.04587519
13,2009-08-26,0.03109423
14,2009-08-26,0.03068247
15,2009-08-26,0.02126766
16,2009-08-26,0.01963136
17,2009-08-26,0.01289561
18,2009-08-26,0.00997954
19,2009-08-26,0.0086131
20,2012-08-21,0.07184432
21,2012-08-21,0.03593964
22,2012-08-21,0.01555758
23,2012-08-21,0.01102792
24,2012-08-21,0.00992493
25,2012-08-21,0.00864792
26,2012-08-21,0.00790035
27,2012-08-21,0.00697122
28,2012-08-21,0.00624674
29,2012-08-21,0.00523781
30,2012-08-21,0.20927788
31,2012-08-21,0.19602946
32,2012-08-21,0.06338317
33,2012-08-21,0.0519241
34,2012-08-21,0.03048574
35,2012-08-21,0.02801521
36,2012-08-21,0.02368711
37,2012-08-21,0.01920294
38,2012-08-21,0.01484095
39,2012-08-21,0.01306293
40,2012-01-27,0.02788119
41,2012-01-27,0.01184905
42,2012-01-27,0.0075938
43,2012-01-27,0.00684051
44,2012-01-27,0.00510479
45,2012-01-27,0.00467724
46,2012-01-27,0.00242668
47,2012-01-27,0.00230168
48,2012-01-27,0.00207758
49,2012-01-27,0.0020397
50,2007-05-29,0.11135942
51,2007-05-29,0.07998767
52,2007-05-29,0.06480895
53,2007-05-29,0.05858721
54,2007-05-29,0.01480821
55,2007-05-29,0.00992891
56,2007-05-29,0.00968511
57,2007-05-29,0.00890717
58,2007-05-29,0.00745603
59,2007-05-29,0.00744833
60,2012-01-27,0.25971814
61,2012-01-27,0.05587633
62,2012-01-27,0.03867576
63,2012-01-27,0.02467078
64,2012-01-27,0.0167479
65,2012-01-27,0.01435175
66,2012-01-27,0.01260662
67,2012-01-27,0.00911902
68,2012-01-27,0.00895924
69,2012-01-27,0.008056
70,2009-08-23,0.16514339
71,2009-08-23,0.10912994
72,2009-08-23,0.04324926
73,2009-08-23,0.02557628
74,2009-08-23,0.01727548
75,2009-08-23,0.01409645
76,2009-08-23,0.01350395
77,2009-08-23,0.01187293
78,2009-08-23,0.00867434
79,2009-08-23,0.00747957
80,2000-10-04,0.01165909
81,2000-10-04,0.01012721
82,2000-10-04,0.00714775
83,2000-10-04,0.00701145
84,2000-10-04,0.006669
85,2000-10-04,0.00586126
86,2000-10-04,0.00559477
87,2000-10-04,0.00443766
88,2000-10-04,0.0037788
89,2000-10-04,0.00343466
90,2012-08-21,0.07994635
91,2012-08-21,0.05736825
92,2012-08-21,0.05020558
93,2012-08-21,0.02733018
94,2012-08-21,0.01286581
95,2012-08-21,0.01237817
96,2012-08-21,0.01146836
97,2012-08-21,0.00921909
98,2012-08-21,0.00892366
99,2012-08-21,0.00639547
100,2007-08-12,0.05148911
101,2007-08-12,0.04065765
102,2007-08-12,0.03361335
103,2007-08-12,0.02159068
104,2007-08-12,0.01975662
105,2007-08-12,0.01599135
106,2007-08-12,0.01306988
107,2007-08-12,0.01051735
108,2007-08-12,0.00958359
109,2007-08-12,0.00949816
110,2002-02-11,0.017889
111,2002-02-11,0.01143221
112,2002-02-11,0.01014088
113,2002-02-11,0.0065875
114,2002-02-11,0.00634586
115,2002-02-11,0.00502546
116,2002-02-11,0.00383868
117,2002-02-11,0.00300854
118,2002-02-11,0.00273378
119,2002-02-11,0.00206393
120,2009-09-27,0.07412137
121,2009-09-27,0.04198648
122,2009-09-27,0.02798183
123,2009-09-27,0.01437763
124,2009-09-27,0.0073616
125,2009-09-27,0.00685871
126,2009-09-27,0.00493859
127,2009-09-27,0.00493268
128,2009-09-27,0.00474545
129,2009-09-27,0.00456506
130,2009-07-24,0.10458773
131,2009-07-24,0.0625684
132,2009-07-24,0.02785226
133,2009-07-24,0.01763578
134,2009-07-24,0.0108029
135,2009-07-24,0.00599726
136,2009-07-24,0.00592509
137,2009-07-24,0.00500834
138,2009-07-24,0.00407284
139,2009-07-24,0.00380802
140,2006-04-24,0.02311694
141,2006-04-24,0.01118135
142,2006-04-24,0.00571064
143,2006-04-24,0.00516769
144,2006-04-24,0.0029092
145,2006-04-24,0.00282212
146,2006-04-24,0.00234947
147,2006-04-24,0.00233906
148,2006-04-24,0.00176986
149,2006-04-24,0.00174303
150,2000-12-29,0.02999619
151,2000-12-29,0.01468241
152,2000-12-29,0.01393642
153,2000-12-29,0.01375059
154,2000-12-29,0.01233741
155,2000-12-29,0.011422
156,2000-12-29,0.01138092
157,2000-12-29,0.01134348
158,2000-12-29,0.01093154
159,2000-12-29,0.008324
160,2016-12-22,0.18515275
161,2016-12-22,0.08451251
162,2016-12-22,0.05021007
163,2016-12-22,0.02561112
164,2016-12-22,0.01759606
165,2016-12-22,0.01745277
166,2016-12-22,0.01552737
167,2016-12-22,0.01247512
168,2016-12-22,0.0110082
169,2016-12-22,0.01090162
170,2007-05-29,0.09491337
171,2007-05-29,0.0604547
172,2007-05-29,0.02156547
173,2007-05-29,0.01566455
174,2007-05-29,0.01318123
175,2007-05-29,0.00990033
176,2007-05-29,0.00722798
177,2007-05-29,0.00668916
178,2007-05-29,0.00519457
179,2007-05-29,0.00499703
180,2009-08-13,0.05740865
181,2009-08-13,0.0574054
182,2009-08-13,0.02683834
183,2009-08-13,0.01827578
184,2009-08-13,0.01033681
185,2009-08-13,0.00982345
186,2009-08-13,0.00843851
187,2009-08-13,0.00705179
188,2009-08-13,0.00686318
189,2009-08-13,0.0057839
190,2016-02-28,0.00896977
191,2016-02-28,0.00601228
192,2016-02-28,0.00449477
193,2016-02-28,0.00430878
194,2016-02-28,0.00427497
195,2016-02-28,0.00412823
196,2016-02-28,0.00383366
